artist_name,artist_url,event_datetime,event_venue.region,event_url,event_venue.url,event_venue.city,event_venue.latitude,event_venue.longitude,event_venue.name,event_id,event_venue.id
Clueso,http://www.bandsintown.com/Clueso,2011-04-02T20:00:00,Switzerland,http://www.bandsintown.com/event/4035513?app_id=epfl,http://www.bandsintown.com/venue/44952,Zurich,47.371722,8.536468,Kaufleuten,4035513,44952
Navel,http://www.bandsintown.com/Navel,2011-04-02T21:00:00,04,http://www.bandsintown.com/event/4169220?app_id=epfl,http://www.bandsintown.com/venue/306296,Basel,47.561136,7.593745,Volkshaus Basel,4169220,306296
Ü32,http://www.bandsintown.com/%C3%9C32,2011-04-02T21:00:00,,http://www.bandsintown.com/event/4259117?app_id=epfl,http://www.bandsintown.com/venue/971970,Reinach Ag,47.2653236,8.1770456,glashaus,4259117,971970
Free The Robots,http://www.bandsintown.com/FreeTheRobots,2011-04-02T21:00:00,25,http://www.bandsintown.com/event/4153452?app_id=epfl,http://www.bandsintown.com/venue/390920,Zurich,47.374458,8.53397,Stall 6,4153452,390920
RAEKWON THE CHEF,http://www.bandsintown.com/RaekwonTheChef,2011-04-02T22:00:00,16,http://www.bandsintown.com/event/4213775?app_id=epfl,http://www.bandsintown.com/venue/351805,Schaffhausen,47.6944774,8.6362258,Kammgarn,4213775,351805
DJ Jesaya,http://www.bandsintown.com/DjJesaya,2011-04-02T22:00:00,25,http://www.bandsintown.com/event/4175842?app_id=epfl,http://www.bandsintown.com/venue/1037598,Zurich,47.3666667,8.55,Medifest Uni Irchel,4175842,1037598
Delilahs,http://www.bandsintown.com/Delilahs,2011-04-02T22:00:00,ZG,http://www.bandsintown.com/event/4173816?app_id=epfl,http://www.bandsintown.com/venue/618787,Zug,47.18222,8.5207599,Industrie 45,4173816,618787
Lord Bishop Rocks,http://www.bandsintown.com/LordBishopRocks,2011-04-02T20:00:00,,http://www.bandsintown.com/event/4127157?app_id=epfl,http://www.bandsintown.com/venue/1023284,Mels,47.0473326,9.4185748,Club Play,4127157,1023284
Kastelruther Spatzen,http://www.bandsintown.com/KastelrutherSpatzen,2011-04-02T20:00:00,,http://www.bandsintown.com/event/3844284?app_id=epfl,http://www.bandsintown.com/venue/963732,St. Gallen,47.42638,9.37369,Olma Halle 3.1,3844284,963732
Deine Jugend,http://www.bandsintown.com/DeineJugend,2011-04-02T21:00:00,GR,http://www.bandsintown.com/event/4121397?app_id=epfl,http://www.bandsintown.com/venue/820903,Chur,46.8477287,9.5277262,Selig,4121397,820903
EYE CONTACT,http://www.bandsintown.com/EyeContact,2011-04-02T21:00:00,09,http://www.bandsintown.com/event/4214583?app_id=epfl,http://www.bandsintown.com/venue/1048442,Zizers,46.9333333,9.5666667,Polarmony,4214583,1048442
Cie. Philippe Saire,http://www.bandsintown.com/Cie.PhilippeSaire,2011-04-03T19:00:00,,http://www.bandsintown.com/event/4259121?app_id=epfl,http://www.bandsintown.com/venue/908452,Bern,46.9407562,7.4442012,Dampfzentrale Turbinensaal,4259121,908452
Popa Chubby,http://www.bandsintown.com/PopaChubby,2011-04-03T19:00:00,05,http://www.bandsintown.com/event/4157784?app_id=epfl,http://www.bandsintown.com/venue/818312,Biel,47.1666667,7.25,Etage Club,4157784,818312
Blues at Afternoon,http://www.bandsintown.com/BluesAtAfternoon,2011-04-03T17:00:00,TG,http://www.bandsintown.com/event/4259118?app_id=epfl,http://www.bandsintown.com/venue/988746,Frauenfeld,47.5568619,8.8952799,Casino,4259118,988746
