,Artist,City,Date,Genre,Venue,origin
133,Sänger und Liederschreiber, Maisprach,2017-01-08,"Rock, Indie, Punk, Heavy Metal, Gothic",Kirche Maisprach,
134,Meistergeiger, Maisprach,2017-01-08,"Rock, Indie, Punk, Heavy Metal, Gothic",Kirche Maisprach,
135,Tigershead, Zürich,2017-01-08,Pop,Stall 6,
136,Teeth'n'Tongue, Bern,2017-01-08,"Hip Hop, R'n'B",Reitschule,Greece
137,DJs The Scorcher, Bern,2017-01-08,"Hip Hop, R'n'B",Reitschule,
138,Rootation, Bern,2017-01-08,"Hip Hop, R'n'B",Reitschule,
139,DJs Laslow, Luzern,2017-01-08,"Hip Hop, R'n'B",Grand Casino Luzern,
140,MK, Luzern,2017-01-08,"Hip Hop, R'n'B",Grand Casino Luzern,
141,Leandro &amp; Co, Luzern,2017-01-08,"Hip Hop, R'n'B",Grand Casino Luzern,
142,K.O.S Crew, Zürich,2017-01-08,"Hip Hop, R'n'B",Moods,
143,Superterz, Zürich,2017-01-07,"Jazz, Blues, Soul",Photobastei,
144,Möchtegang,,2017-01-07,"Rock, Indie, Punk, Heavy Metal, Gothic",Grabenhalle,
145,The Lovejoys, Zürich,2017-01-07,"Rock, Indie, Punk, Heavy Metal, Gothic",Helsinki,
146,The Boys You Know,,2017-01-07,"Rock, Indie, Punk, Heavy Metal, Gothic",Kulturladen,
147,OGMH,,2017-01-07,"Rock, Indie, Punk, Heavy Metal, Gothic",Kulturladen,
148,Zeus, Winterthur,2017-01-07,"Rock, Indie, Punk, Heavy Metal, Gothic",Gaswerk,
149,Zaperlipopette, Winterthur,2017-01-07,"Rock, Indie, Punk, Heavy Metal, Gothic",Gaswerk,
150,DJ Scharlachmaria, Zürich,2017-01-07,Pop,Café Bar Nordbrücke,
151,Tuliaisia, Thalwil,2017-01-07,Pop,Kulturraum Thalwil,
152,Marianne Racine-Granvik, Thalwil,2017-01-07,Pop,Kulturraum Thalwil,
153,Vera Kappeler, Thalwil,2017-01-07,Pop,Kulturraum Thalwil,
154,RHCP, Münchenstein,2017-01-07,Pop,Rockfact Music Club,
155,Soul in motion, Münchenstein,2017-01-07,Pop,Rockfact Music Club,
156,TPATC, Münchenstein,2017-01-07,Pop,Rockfact Music Club,
157,MissGrousiii, Münchenstein,2017-01-07,Pop,Rockfact Music Club,
158,Pink Pedrazzi, Liestal,2017-01-07,Pop,Kulturhotel Guggenheim,
159,DJs Mr. Ho, Zürich,2017-01-07,"Rock, Indie, Punk, Heavy Metal, Gothic",Zukunft,Hong Kong
160,Manuel Fischer, Zürich,2017-01-07,"Rock, Indie, Punk, Heavy Metal, Gothic",Zukunft,
161,Jimi Jules, Zürich,2017-01-07,"Rock, Indie, Punk, Heavy Metal, Gothic",Zukunft,
162,DJs Double Dice, Zürich,2017-01-06,"Hip Hop, R'n'B",Vior Club,
163,Black M, Zürich,2017-01-06,"Hip Hop, R'n'B",Vior Club,
164,DJ Grillmaster W, Zürich,2017-01-06,"Rock, Indie, Punk, Heavy Metal, Gothic",Big Ben Westside,
165,DJ Dr Jones, Luzern,2017-01-06,"Hip Hop, R'n'B",Madeleine,
166,DJs Theo, Luzern,2017-01-06,"Ragga, Reggae, African Music, Dancehall",Grand Casino Luzern,
167,Jose Luis, Luzern,2017-01-06,"Ragga, Reggae, African Music, Dancehall",Grand Casino Luzern,
168,DJ High Fi, Bern,2017-01-06,"Hip Hop, R'n'B",Propeller-Bar,
169,DJ Irie Shottaz, Basel,2017-01-06,"Hip Hop, R'n'B",Cargo Bar,
170,Boris Pilleri's Jammin, Lenzburg,2017-01-06,"Hip Hop, R'n'B",Baronessa,
171,Bondaa, Bern,2017-01-06,"Hip Hop, R'n'B",Mahogany Hall,
172,Hendrix Cousins, Schaffhausen,2017-01-06,"Jazz, Blues, Soul",Kammgarn,
173,Müslüm & Band, Solothurn,2017-01-06,Pop,Kulturfabrik Kofmehl,
