,Artist,City,Date,Genre,Venue,origin
19721,Matthieu Llodra,,2014-06-05,"Jazz, Blues, Soul",Chat Noir,
19722,Vincent Ruiz,,2014-06-05,"Jazz, Blues, Soul",Chat Noir,
19723,Maxence Sibille,,2014-06-05,"Jazz, Blues, Soul",Chat Noir,
19724,DJ Theo, Basel,2014-06-05,"Ragga, Reggae, African Music, Dancehall",Allegra-Club,
19725,Elem, Bern,2014-06-05,Electronic,Reitschule,
19726,Mathon, Bern,2014-06-05,Electronic,Reitschule,
19727,DJs Everest, Bern,2014-06-05,Electronic,Reitschule,
19728,Oblivion, Bern,2014-06-05,Electronic,Reitschule,
19729,Rota Chor, Zürich,2014-06-05,Pop,Idastrasse 49,
19730,Leitung: Letizia Schneider, Zürich,2014-06-05,Pop,Idastrasse 49,
19731,Wo Fat, Zürich,2014-06-04,"Rock, Indie, Punk, Heavy Metal, Gothic",Kinski,United States
19732,Mothership, Zürich,2014-06-04,"Rock, Indie, Punk, Heavy Metal, Gothic",Kinski,United States
19733,The Builders & The Butchers, Zürich,2014-06-04,"Rock, Indie, Punk, Heavy Metal, Gothic",El Lokal,United States
19734,Dominic Miller and Band, Frick,2014-06-04,"Rock, Indie, Punk, Heavy Metal, Gothic",Fricks Monti,Argentina
19735,Tequila Boys, Bern,2014-06-04,"Rock, Indie, Punk, Heavy Metal, Gothic",ISC Club,
19736,DJ Theo, Luzern,2014-06-04,"Ragga, Reggae, African Music, Dancehall",Madeleine,
19737,Occam's Razor, Bern,2014-06-04,"Rock, Indie, Punk, Heavy Metal, Gothic",Reitschule,
19738,True, Zürich,2014-06-04,Pop,Raygrodski Bar,
19739,Timothy Jaromir feat. Rykka, Zürich,2014-06-04,"Rock, Indie, Punk, Heavy Metal, Gothic",Rüsterei,
19740,Timothy Jaromir, Zürich,2014-06-04,"Rock, Indie, Punk, Heavy Metal, Gothic",Rüsterei,
19741,Rykka, Zürich,2014-06-04,"Rock, Indie, Punk, Heavy Metal, Gothic",Rüsterei,
19742,Singschule Chur, Chur,2014-06-04,Pop,Theater Chur,
19743,Kinderkonzert mit Musical Giant Finn, Chur,2014-06-04,Pop,Theater Chur,Finland
19744,DJ Elkaphone,,2014-06-03,"Hip Hop, R'n'B",Relax Lounge,
19745,SMK DJ-Team, Zürich,2014-06-03,"Hip Hop, R'n'B",Plaza Zürich,
19746,Papercut, Zürich,2014-06-03,Pop,Mambo Café,
19747,DJ Johnny Guitar, Winterthur,2014-06-03,"Rock, Indie, Punk, Heavy Metal, Gothic",Kraftfeld,
19748,Seefelder Singstunde, Zürich,2014-06-03,Pop,Genusswerkstatt,
19749,Leitung: Michael Bieler, Zürich,2014-06-03,Pop,Genusswerkstatt,
19750,Logo, Luzern,2014-06-03,"Jazz, Blues, Soul",Jazzkantine,
19751,Florian Hoesl's Druckmittel, Luzern,2014-06-03,"Jazz, Blues, Soul",Jazzkantine,
19752,Lukas Weber, Luzern,2014-06-03,"Jazz, Blues, Soul",Jazzkantine,
19753,David Koch, Luzern,2014-06-03,"Jazz, Blues, Soul",Jazzkantine,
19754,Ramon Landolt, Luzern,2014-06-03,"Jazz, Blues, Soul",Jazzkantine,
19755,Mario Hänni, Luzern,2014-06-03,"Jazz, Blues, Soul",Jazzkantine,
19756,Skinny Jim Tennessee & Johnny Bravo, Bern,2014-06-02,"Rock, Indie, Punk, Heavy Metal, Gothic",Bar Wohnzimmer Les Amis,
19757,Robbie Williams, Zürich,2014-06-02,Pop,Hallenstadion,United Kingdom
19758,Swings Both Ways Tour, Zürich,2014-06-02,Pop,Hallenstadion,
19759,Ivan Mangia, Dübendorf,2014-06-02,"Jazz, Blues, Soul",Kino Orion,
19760,Ad-hoc Chor Urdorf, Zürich,2014-06-02,Pop,Gertrudstrasse 54,
19761,Leitung: Géraldine Marmier, Zürich,2014-06-02,Pop,Gertrudstrasse 54,
19762,Baze, Zürich,2014-06-01,"Hip Hop, R'n'B",Seebad Enge,
19763,Age of Woe, Bern,2014-06-01,"Rock, Indie, Punk, Heavy Metal, Gothic",Reitschule,Sweden
19764,Moloken, Bern,2014-06-01,"Rock, Indie, Punk, Heavy Metal, Gothic",Reitschule,Sweden
19765,Jagwar Ma, Zürich,2014-06-01,"Rock, Indie, Punk, Heavy Metal, Gothic",Plaza Zürich,Australia
19766,DJs Samy, Basel,2014-06-01,"Ragga, Reggae, African Music, Dancehall",Hinterhof,
19767,Katja Savastano, Basel,2014-06-01,"Ragga, Reggae, African Music, Dancehall",Hinterhof,
19768,Rafael Gonzalez, Basel,2014-06-01,"Ragga, Reggae, African Music, Dancehall",Hinterhof,
19769,Fusión Caribe-Team, Basel,2014-06-01,"Ragga, Reggae, African Music, Dancehall",Hinterhof,
19770,Flip-Flops, Basel,2014-06-01,"Ragga, Reggae, African Music, Dancehall",Hinterhof,
19771,Einzig dr Andr und Diisä, Zürich,2014-06-01,Pop,Fabriktheater (Rote Fabrik),
19772,Benno Muheim, Zürich,2014-06-01,Pop,Fabriktheater (Rote Fabrik),
19773,Matteo Schenardi, Zürich,2014-06-01,Pop,Fabriktheater (Rote Fabrik),
19774,Livio Baldelli, Zürich,2014-06-01,Pop,Fabriktheater (Rote Fabrik),
19775,Flubi & Barbara Burren, Zofingen,2014-06-01,Pop,Gemeindeschulhaus,
19776,Ueli Schmezer, Zofingen,2014-06-01,Pop,Gemeindeschulhaus,
19777,Christian Schenker, Zofingen,2014-06-01,Pop,Gemeindeschulhaus,
19778,Papagallo & Gollo, Zofingen,2014-06-01,Pop,Gemeindeschulhaus,
19779,DJs Captain Teis, Basel,2014-06-01,"Hip Hop, R'n'B",Plaza Club,
19780,Ace, Basel,2014-06-01,"Hip Hop, R'n'B",Plaza Club,
19781,DJ No Sikiriki, Winterthur,2014-06-01,"Ragga, Reggae, African Music, Dancehall",Kraftfeld,
19782,DJs Rocketaro, Winterthur,2014-06-01,"Rock, Indie, Punk, Heavy Metal, Gothic",Albani Music Club,
19783,Reca SF, Winterthur,2014-06-01,"Rock, Indie, Punk, Heavy Metal, Gothic",Albani Music Club,
19784,DJs Reezm, Sankt Gallen,2014-06-01,"Hip Hop, R'n'B",Palace,
19785,Paul Neumann, Sankt Gallen,2014-06-01,"Hip Hop, R'n'B",Palace,
19786,P-Tess, Sankt Gallen,2014-06-01,"Hip Hop, R'n'B",Palace,
19787,DJ M-Smok, Bern,2014-06-01,"Ragga, Reggae, African Music, Dancehall",Eclipse,
19788,The Fugitives, Zürich,2014-05-31,Pop,Langstars,Canada
19789,Juhanna Livonen	(FIN), Zürich,2014-05-31,Pop,Langstars,Finland
19790,Suchas, Luzern,2014-05-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Musikzentrum Sedel,
19791,Tunica Dartos, Luzern,2014-05-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Musikzentrum Sedel,
19792,Schwarze Herren, Luzern,2014-05-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Musikzentrum Sedel,
19793,Rude Attack, Luzern,2014-05-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Musikzentrum Sedel,
19794,DJs Sdanke, Luzern,2014-05-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Musikzentrum Sedel,
19795,Touch of Deep, Luzern,2014-05-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Musikzentrum Sedel,
19796,Mitura, Luzern,2014-05-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Musikzentrum Sedel,
19797,Manon, Luzern,2014-05-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Musikzentrum Sedel,
19798,Desolat, Luzern,2014-05-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Musikzentrum Sedel,
19799,Terminal M, Luzern,2014-05-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Musikzentrum Sedel,
19800,Polo Hofer & Die Band, Rubigen,2014-05-31,Pop,Mühle Hunziken,
19801,Die Apokalyptischen Reiter, Lyss,2014-05-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Kulturfabrik KUFA,
19802,DJ D-Skillz, Luzern,2014-05-31,"Hip Hop, R'n'B",Pravda,
19803,John Lyons Band, Bern,2014-05-31,"Jazz, Blues, Soul",Mahogany Hall,United States
19804,DJ Mike L, Kloten,2014-05-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Floor,
19805,Pippo Pollina & Palermo Acoustic Trio, Wetzikon,2014-05-31,Pop,Scala,
19806,Koch-Schütz-Studer & Superterz feat. Strøm,,2014-05-31,"Jazz, Blues, Soul",Étage St. Gervais,
19807,Nils Wogram Root 70 & Strings, Basel,2014-05-31,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
19808,Hayden Chisholm, Basel,2014-05-31,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
19809,Nils Wogram, Basel,2014-05-31,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
19810,Gerdur Gunnarsdottir, Basel,2014-05-31,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
19811,Gareth Lubbe, Basel,2014-05-31,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
19812,Adrian Brendel, Basel,2014-05-31,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
19813,Matt Penman, Basel,2014-05-31,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
19814,Dejan Terzic, Basel,2014-05-31,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
19815,Artist in Residence, Basel,2014-05-31,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
19816,Andi Loser and The Poets, Feuerthalen,2014-05-31,"Hip Hop, R'n'B",dolder2 KultUhrBeiz,
19817,Hand It Over Tour, Feuerthalen,2014-05-31,"Hip Hop, R'n'B",dolder2 KultUhrBeiz,
19818,Dunkelbunt, Zürich,2014-05-31,Electronic,Moods,
19819,Hidan Mamudov, Zürich,2014-05-31,Electronic,Moods,
19820,Christiane Beinl, Zürich,2014-05-31,Electronic,Moods,
19821,Alexander Leuschner, Zürich,2014-05-31,Electronic,Moods,
19822,Florian Tavernier, Zürich,2014-05-31,Electronic,Moods,
19823,DJs Dirty Dike, Wetzikon,2014-05-31,"Hip Hop, R'n'B",Kulturfabrik Wetzikon,United Kingdom
19824,Fliptrix, Wetzikon,2014-05-31,"Hip Hop, R'n'B",Kulturfabrik Wetzikon,United Kingdom
19825,Sammy B, Wetzikon,2014-05-31,"Hip Hop, R'n'B",Kulturfabrik Wetzikon,
19826,Side, Wetzikon,2014-05-31,"Hip Hop, R'n'B",Kulturfabrik Wetzikon,United Kingdom
19827,Lord Lhus, Wetzikon,2014-05-31,"Hip Hop, R'n'B",Kulturfabrik Wetzikon,United States
19828,Lxcellent, Wetzikon,2014-05-31,"Hip Hop, R'n'B",Kulturfabrik Wetzikon,
19829,Dr. Mas & Gary, Wetzikon,2014-05-31,"Hip Hop, R'n'B",Kulturfabrik Wetzikon,
19830,Al Music, Wetzikon,2014-05-31,"Hip Hop, R'n'B",Kulturfabrik Wetzikon,
19831,Spittin'H, Wetzikon,2014-05-31,"Hip Hop, R'n'B",Kulturfabrik Wetzikon,
19832,Genyez, Wetzikon,2014-05-31,"Hip Hop, R'n'B",Kulturfabrik Wetzikon,
19833,Bernatolien Festival 31.5-1.6.2014, Bern,2014-05-31,Pop,Waisenhausplatz,
19834,Baba Shrimps, Zürich,2014-05-31,Pop,Vorstadt Sounds,
19835,Jeans for Jesus, Zürich,2014-05-31,Pop,Vorstadt Sounds,
19836,Me. Man. Machine u.a., Zürich,2014-05-31,Pop,Vorstadt Sounds,
19837,Ab 16 Jahren, Solothurn,2014-05-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Kulturfabrik Kofmehl,
19838,DJs Teyst,,2014-05-31,"Hip Hop, R'n'B",Ivy Club & Events,
19839,Loco Pai,,2014-05-31,"Hip Hop, R'n'B",Ivy Club & Events,
19840,Cochano,,2014-05-31,"Hip Hop, R'n'B",Ivy Club & Events,
19841,DJs Jimmy, Zürich,2014-05-31,"Ragga, Reggae, African Music, Dancehall",Latin Palace,
19842,Tommy, Zürich,2014-05-31,"Ragga, Reggae, African Music, Dancehall",Latin Palace,
19843,DJs Hispanic Joe,,2014-05-31,"Hip Hop, R'n'B",Elephant Club,
19844,Die-Scorp,,2014-05-31,"Hip Hop, R'n'B",Elephant Club,
19845,Live: Lo & Leduc feat. Pacomé,,2014-05-31,"Hip Hop, R'n'B",Coupole (Gaskessel),
19846,JB Funks,,2014-05-31,"Hip Hop, R'n'B",Coupole (Gaskessel),
19847,Circles,,2014-05-31,"Hip Hop, R'n'B",Coupole (Gaskessel),
19848,Rootblock Soundsystem,,2014-05-31,"Hip Hop, R'n'B",Coupole (Gaskessel),
19849,DJs Dr. Love,,2014-05-31,"Hip Hop, R'n'B",Coupole (Gaskessel),
19850,La Vie C'est Cacile,,2014-05-31,"Hip Hop, R'n'B",Coupole (Gaskessel),
19851,Mil Waukee,,2014-05-31,"Hip Hop, R'n'B",Coupole (Gaskessel),
19852,Bassproof u. a.,,2014-05-31,"Hip Hop, R'n'B",Coupole (Gaskessel),
19853,Les Fatals Picards,,2014-05-30,Pop,Usine,
19854,Bob's Not Dead,,2014-05-30,Pop,Usine,
19855,The Fugitives, Basel,2014-05-30,"Rock, Indie, Punk, Heavy Metal, Gothic",Parterre One,Canada
19856,Noflores, Zürich,2014-05-30,"Jazz, Blues, Soul",Mehrspur,
19857,Jonas Ruther, Zürich,2014-05-30,"Jazz, Blues, Soul",Mehrspur,
19858,Dave Gisler, Zürich,2014-05-30,"Jazz, Blues, Soul",Mehrspur,
19859,Tobias Meier, Zürich,2014-05-30,"Jazz, Blues, Soul",Mehrspur,
19860,Debrah Scarlett, Basel,2014-05-30,Pop,Kuppel,Norway
19861,Kristian Kristensen, Basel,2014-05-30,Pop,Kuppel,Norway
19862,Moechtegang, Luzern,2014-05-30,"Hip Hop, R'n'B",Bar 59,
19863,DJ Cutzilla, Luzern,2014-05-30,"Hip Hop, R'n'B",Bar 59,
19864,Victoria Mozalevskaya Trio, Winterthur,2014-05-30,"Jazz, Blues, Soul",Esse Musicbar,
19865,Victoria Mozalevskaya, Winterthur,2014-05-30,"Jazz, Blues, Soul",Esse Musicbar,
19866,Thomas Dürst, Winterthur,2014-05-30,"Jazz, Blues, Soul",Esse Musicbar,
19867,Pius Baschnagel, Winterthur,2014-05-30,"Jazz, Blues, Soul",Esse Musicbar,
19868,Frantz' Joyce, Zürich,2014-05-30,"Jazz, Blues, Soul",WIM - Werkstatt für improvisierte Musik,
19869,Jason Kahn, Zürich,2014-05-30,"Jazz, Blues, Soul",WIM - Werkstatt für improvisierte Musik,
19870,Norbert Möslang, Zürich,2014-05-30,"Jazz, Blues, Soul",WIM - Werkstatt für improvisierte Musik,
19871,Texas Blues Guitar Battle, Basel,2014-05-30,"Jazz, Blues, Soul",Volkshaus Basel,United States
19872,Johnny Mastro & Mama's Boy's, Herisau,2014-05-30,"Rock, Indie, Punk, Heavy Metal, Gothic",Pontem,
19873,Karina Ra, Zürich,2014-05-30,Pop,Kulturhaus Helferei,
19874,Benefizkonzert zugunsten des brasilianischen Altersheims Lar Esperança, Zürich,2014-05-30,Pop,Kulturhaus Helferei,
19875,São Paulo), Zürich,2014-05-30,Pop,Kulturhaus Helferei,
19876,DJ Bobo, Bern,2014-05-30,Pop,PostFinance-Arena,
19877,Wolfman, Zürich,2014-05-30,Pop,Vorstadt Sounds,
19878,Kummerbuben, Zürich,2014-05-30,Pop,Vorstadt Sounds,
19879,King Zebra u.a., Zürich,2014-05-30,Pop,Vorstadt Sounds,
19880,Lukas Schellenberg, Winterthur,2014-05-30,"Jazz, Blues, Soul",Park Hotel Winterthur,
19881,Daniel Müller, Winterthur,2014-05-30,"Jazz, Blues, Soul",Park Hotel Winterthur,
19882,Nick Mens, Winterthur,2014-05-30,"Jazz, Blues, Soul",Park Hotel Winterthur,
19883,DJs Emely & Scum, Bern,2014-05-30,"Hip Hop, R'n'B",Progr,
19884,Cosie, Bern,2014-05-30,"Hip Hop, R'n'B",Progr,
19885,DJ Theo, Luzern,2014-05-29,"Ragga, Reggae, African Music, Dancehall",Schüür,
19886,OJM, Luzern,2014-05-29,"Rock, Indie, Punk, Heavy Metal, Gothic",The Bruch Brothers,
19887,DJ Konserve, Luzern,2014-05-29,"Rock, Indie, Punk, Heavy Metal, Gothic",The Bruch Brothers,
19888,MyKungFu, Winterthur,2014-05-29,Pop,Albani Music Club,
19889,J.J Flück und Hausband, Bern,2014-05-29,"Hip Hop, R'n'B",Reitschule,
19890,DJ Nono & Manuel, Zürich,2014-05-29,"Ragga, Reggae, African Music, Dancehall",X-tra,
19891,Raspberry Jamwood, Zürich,2014-05-29,Pop,Gonzo,
19892,Feel X Cited Tour, Zürich,2014-05-29,Pop,Gonzo,
19893,Lea Lu, Luzern,2014-05-29,Pop,Schüür,
19894,DJs Kool, Baden,2014-05-29,"Ragga, Reggae, African Music, Dancehall",Merkker,
19895,Kut Luke, Baden,2014-05-29,"Ragga, Reggae, African Music, Dancehall",Merkker,
19896,Rawshit, Baden,2014-05-29,"Ragga, Reggae, African Music, Dancehall",Merkker,
19897,Ramso, Baden,2014-05-29,"Ragga, Reggae, African Music, Dancehall",Merkker,
19898,Saisonabschluss, Baden,2014-05-29,"Ragga, Reggae, African Music, Dancehall",Merkker,
19899,DJ Segundo, Solothurn,2014-05-29,"Ragga, Reggae, African Music, Dancehall",Kulturfabrik Kofmehl,
19900,Jam Session, Chur,2014-05-29,Pop,Werkstatt,
19901,Mike & The Mechanics, La Sagne,2014-05-29,"Rock, Indie, Punk, Heavy Metal, Gothic",Terrain de football Les Gouttes,United Kingdom
19902,Murray Head, La Sagne,2014-05-29,"Rock, Indie, Punk, Heavy Metal, Gothic",Terrain de football Les Gouttes,United Kingdom
19903,Kior, La Sagne,2014-05-29,"Rock, Indie, Punk, Heavy Metal, Gothic",Terrain de football Les Gouttes,
19904,Derrick Feole, Weggis,2014-05-29,"Jazz, Blues, Soul",Park Weggis,
19905,Black Lips, Düdingen,2014-05-29,Pop,Bad Bonn,United States
19906,Wild Beasts, Düdingen,2014-05-29,Pop,Bad Bonn,United Kingdom
19907,Superchunk, Düdingen,2014-05-29,Pop,Bad Bonn,United States
19908,Jungle, Düdingen,2014-05-29,Pop,Bad Bonn,United Kingdom
19909,Acid Arab, Düdingen,2014-05-29,Pop,Bad Bonn,
19910,Bombino, Düdingen,2014-05-29,Pop,Bad Bonn,
19911,Wooden Shjips, Düdingen,2014-05-29,Pop,Bad Bonn,United States
19912,Hospitality, Düdingen,2014-05-29,Pop,Bad Bonn,United States
19913,Forest Swords, Düdingen,2014-05-29,Pop,Bad Bonn,United Kingdom
19914,Larry Gus, Düdingen,2014-05-29,Pop,Bad Bonn,Greece
19915,Praed, Düdingen,2014-05-29,Pop,Bad Bonn,
19916,Puts Marie, Düdingen,2014-05-29,Pop,Bad Bonn,
19917,Fitz, Düdingen,2014-05-29,Pop,Bad Bonn,Ireland
19918,Lee Schornoz & Michel Gorski, Düdingen,2014-05-29,Pop,Bad Bonn,
19919,Trottles of the Dead, Düdingen,2014-05-29,Pop,Bad Bonn,
19920,Kinderchormatinee Kanton BS, Basel,2014-05-29,Pop,Martinskirche,
19921,Matinee Kanton BL, Pratteln,2014-05-29,Pop,Kultur- und Sportzentrum (KUSPO),
19922,DJs Playgroundkidz, Zürich,2014-05-29,"Hip Hop, R'n'B",Gonzo,
19923,Dr. Drea, Zürich,2014-05-29,"Hip Hop, R'n'B",Gonzo,
19924,DJs Crack-T,,2014-05-29,"Hip Hop, R'n'B",Ivy Club & Events,
19925,Ron'Del,,2014-05-29,"Hip Hop, R'n'B",Ivy Club & Events,
19926,DJs John Player, Zürich,2014-05-29,"Hip Hop, R'n'B",Zukunft,
19927,Lexx, Zürich,2014-05-29,"Hip Hop, R'n'B",Zukunft,
19928,Jauss, Zürich,2014-05-29,"Hip Hop, R'n'B",Zukunft,
19929,Kejeblos, Zürich,2014-05-29,"Hip Hop, R'n'B",Zukunft,
19930,Kalabrese, Zürich,2014-05-29,"Hip Hop, R'n'B",Zukunft,
19931,Alex Dallas, Zürich,2014-05-29,"Hip Hop, R'n'B",Zukunft,
19932,Glanton Gang, Zürich,2014-05-29,"Hip Hop, R'n'B",Exil,
19933,Lo & Leduc, Zürich,2014-05-29,"Hip Hop, R'n'B",Exil,
19934,DJs Ruck-P, Zürich,2014-05-29,"Hip Hop, R'n'B",Exil,
19935,L-Way, Zürich,2014-05-29,"Hip Hop, R'n'B",Exil,
19936,DJs Joe Axo, Zürich,2014-05-29,"Ragga, Reggae, African Music, Dancehall",Escherwyss,
19937,Gigi Caputo, Zürich,2014-05-29,"Ragga, Reggae, African Music, Dancehall",Escherwyss,
19938,Source, Zürich,2014-05-29,"Ragga, Reggae, African Music, Dancehall",Escherwyss,
19939,Joe Ferretti, Zürich,2014-05-29,"Ragga, Reggae, African Music, Dancehall",Escherwyss,
19940,Lomeo, Zürich,2014-05-29,"Ragga, Reggae, African Music, Dancehall",Escherwyss,
19941,DJ Vest, Bern,2014-05-29,"Ragga, Reggae, African Music, Dancehall",Eclipse,
19942,DJs Pfund 500, Zürich,2014-05-29,"Hip Hop, R'n'B",Hard One,
19943,Big Boys, Zürich,2014-05-29,"Hip Hop, R'n'B",Hard One,
19944,DJ Manuel, Zürich,2014-05-28,"Ragga, Reggae, African Music, Dancehall",Vior Club,
19945,Anacoustica, Dielsdorf,2014-05-28,Pop,Ned Kelly Lounge,
19946,Bleech, Lausanne,2014-05-28,"Rock, Indie, Punk, Heavy Metal, Gothic",Bleu Lezard,United Kingdom
19947,DJ Mr. White, Lausanne,2014-05-28,"Rock, Indie, Punk, Heavy Metal, Gothic",Bleu Lezard,
19948,Who stole my Mojo?, Bern,2014-05-28,"Jazz, Blues, Soul",Ono - Das Kulturlokal,
19949,The Ghost Rock Ensemble, Luzern,2014-05-28,"Jazz, Blues, Soul",Jazzkantine,
19950,RDA-4, Luzern,2014-05-28,"Jazz, Blues, Soul",Jazzkantine,
19951,Nostalgia, Basel,2014-05-27,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
19952,Nils Wogram, Basel,2014-05-27,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
19953,Arno Krijger, Basel,2014-05-27,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
19954,Dejan Terzic, Basel,2014-05-27,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
19955,Artist in Residence, Basel,2014-05-27,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
19956,DJ Urbano, Luzern,2014-05-27,"Ragga, Reggae, African Music, Dancehall",Bar 59,
19957,Philipp Häfliger & Daniel Zihlmann, Zürich,2014-05-27,"Jazz, Blues, Soul",Mambo Café,
19958,Colin Vallon Trio, Thun,2014-05-27,"Jazz, Blues, Soul",Mokka,
19959,Colin Vallon, Thun,2014-05-27,"Jazz, Blues, Soul",Mokka,
19960,Patrice Moret, Thun,2014-05-27,"Jazz, Blues, Soul",Mokka,
19961,Julian Sartorius, Thun,2014-05-27,"Jazz, Blues, Soul",Mokka,
19962,Silver Lining, Baden,2014-05-27,"Jazz, Blues, Soul",Stanzerei,
19963,Blues Kidz, Baden,2014-05-27,"Jazz, Blues, Soul",Stanzerei,
19964,Ásgeir, Zürich,2014-05-27,Pop,Mascotte,Iceland
19965,DJ Despelote, Zürich,2014-05-27,"Ragga, Reggae, African Music, Dancehall",Mambo Café,
19966,Duo Bärtsch-Sha, Zürich,2014-05-26,"Jazz, Blues, Soul",Exil,
19967,Joel Gilardini, Zürich,2014-05-26,"Jazz, Blues, Soul",Exil,
19968,Bernhoft, Zürich,2014-05-25,"Hip Hop, R'n'B",Plaza Zürich,Norway
19969,Gary Clark Jr., Zürich,2014-05-25,"Rock, Indie, Punk, Heavy Metal, Gothic",Kaufleuten,United States
19970,Gary Clark Jr., Zürich,2014-05-25,"Rock, Indie, Punk, Heavy Metal, Gothic",Kaufleuten,
19971,King Zapata, Zürich,2014-05-25,"Rock, Indie, Punk, Heavy Metal, Gothic",Kaufleuten,
19972,Johnny Bradley, Zürich,2014-05-25,"Rock, Indie, Punk, Heavy Metal, Gothic",Kaufleuten,
19973,Johnny Radelat, Zürich,2014-05-25,"Rock, Indie, Punk, Heavy Metal, Gothic",Kaufleuten,
19974,Hosted by Schwiizergoofe GmbH, Wil,2014-05-25,Pop,Stadtsaal Wil,
19975,Hello-Family-Tour, Wil,2014-05-25,Pop,Stadtsaal Wil,
19976,Greg Anderson, Weggis,2014-05-25,"Jazz, Blues, Soul",Park Weggis,
19977,DJs Johnny Roxx,,2014-05-25,"Hip Hop, R'n'B",Ivy Club & Events,
19978,Fadeout,,2014-05-25,"Hip Hop, R'n'B",Ivy Club & Events,
19979,DJ Lil Miss Pearl, Winterthur,2014-05-25,"Rock, Indie, Punk, Heavy Metal, Gothic",Albani Music Club,
19980,DJ Urs Diethelm, Zürich,2014-05-25,"Hip Hop, R'n'B",PurPur,
19981,Big Deal, Lausanne,2014-05-25,"Rock, Indie, Punk, Heavy Metal, Gothic",Le Romandie,United States
19982,DJs Moreno, Basel,2014-05-25,"Hip Hop, R'n'B",Latin-Club D'Rumba,
19983,Keeo Cool, Basel,2014-05-25,"Hip Hop, R'n'B",Latin-Club D'Rumba,
19984,Lo & Leduc, Aarau,2014-05-24,Pop,KiFF,
19985,Jeans For Jesus, Aarau,2014-05-24,Pop,KiFF,
19986,Katy And The Escort Orchestra, Zürich,2014-05-24,"Hip Hop, R'n'B",Langstars,
19987,Chameleon, Zürich,2014-05-24,"Hip Hop, R'n'B",Langstars,
19988,Dynamind, Schaffhausen,2014-05-24,"Hip Hop, R'n'B",Chäller,
19989,Eating Black Milk, Schaffhausen,2014-05-24,"Hip Hop, R'n'B",Chäller,
19990,Roger, Wil,2014-05-24,"Hip Hop, R'n'B",Gare de Lion,
19991,MFMF, Wil,2014-05-24,"Hip Hop, R'n'B",Gare de Lion,
19992,Odium & The Dawn, Wil,2014-05-24,"Hip Hop, R'n'B",Gare de Lion,
19993,Merlin Alexander Löschinger & DJ Unda, Wil,2014-05-24,"Hip Hop, R'n'B",Gare de Lion,
19994,Fliehende Stürme, Luzern,2014-05-24,Pop,Musikzentrum Sedel,
19995,Krankenzimmer 204, Luzern,2014-05-24,Pop,Musikzentrum Sedel,
19996,Robert Francis & The Night Tide, Lausanne,2014-05-24,"Rock, Indie, Punk, Heavy Metal, Gothic",Les Docks,United States
19997,The Melodic, Lausanne,2014-05-24,"Rock, Indie, Punk, Heavy Metal, Gothic",Les Docks,
19998,Marc Ullrich Quintet, Basel,2014-05-24,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
19999,Marc Ullrich, Basel,2014-05-24,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
20000,Andy Scherrer, Basel,2014-05-24,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
20001,Jean-Paul Brodbeck, Basel,2014-05-24,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
20002,Stephan Kurmann, Basel,2014-05-24,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
20003,Peter Schmidlin, Basel,2014-05-24,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
20004,Icebreaker, Zürich,2014-05-24,"Rock, Indie, Punk, Heavy Metal, Gothic",Restaurant Falcone,
20005,Jubiläums-Konzert: 20 Jahre Icebreaker, Zürich,2014-05-24,"Rock, Indie, Punk, Heavy Metal, Gothic",Restaurant Falcone,
20006,Lutz Drenkwitz, Feuerthalen,2014-05-24,"Rock, Indie, Punk, Heavy Metal, Gothic",dolder2 KultUhrBeiz,
20007,The Glue, Basel,2014-05-24,Pop,Schauspielhaus Theater Basel,
