artist_name,artist_url,event_datetime,event_id,event_url,event_venue.city,event_venue.id,event_venue.latitude,event_venue.longitude,event_venue.name,event_venue.region,event_venue.url
DJ LEVENTINO -  THE NEW PAGE,http://www.bandsintown.com/DjLeventino-TheNewPage,2012-01-29T13:00:00,4783620,http://www.bandsintown.com/event/4783620?app_id=epfl,Zurich,1257710,47.3666667,8.55,Stairs After Hours 13:00 - 16:00 H,25,http://www.bandsintown.com/venue/1257710
Blues Brothers,http://www.bandsintown.com/BluesBrothers,2012-01-29T14:00:00,4915914,http://www.bandsintown.com/event/4915914?app_id=epfl,Zurich,1299804,47.372377,8.574109,The Dolder Grand,25,http://www.bandsintown.com/venue/1299804
Live Multivision Fotoreportage,http://www.bandsintown.com/LiveMultivisionFotoreportage,2012-01-29T16:00:00,4915915,http://www.bandsintown.com/event/4915915?app_id=epfl,Winterthur,842325,47.504074700000004,8.725535,Banana City,,http://www.bandsintown.com/venue/842325
Montserrat Caballé,http://www.bandsintown.com/MontserratCaball%C3%A9,2012-01-29T18:00:00,4229457,http://www.bandsintown.com/event/4229457?app_id=epfl,Basel,169943,47.5545998,7.5886898,Stadtcasino Basel,BS,http://www.bandsintown.com/venue/169943
Gardi Hutter,http://www.bandsintown.com/GardiHutter,2012-01-29T19:00:00,4915917,http://www.bandsintown.com/event/4915917?app_id=epfl,Rapperswil-Jona,885142,47.229596799999996,8.8365823,Kreuz,St. Gallen,http://www.bandsintown.com/venue/885142
CD-Taufe,http://www.bandsintown.com/CD-Taufe,2012-01-29T19:00:00,4915918,http://www.bandsintown.com/event/4915918?app_id=epfl,Zurich,10674,47.3666667,8.55,Moods,25,http://www.bandsintown.com/venue/10674
Heidi Happy,http://www.bandsintown.com/HeidiHappy,2012-01-29T20:00:00,4864257,http://www.bandsintown.com/event/4864257?app_id=epfl,Zurich,697731,47.3882217,8.519470199999999,Exil,ZH,http://www.bandsintown.com/venue/697731
Tom Freund,http://www.bandsintown.com/TomFreund,2012-01-29T20:00:00,4864257,http://www.bandsintown.com/event/4864257?app_id=epfl,Zurich,697731,47.3882217,8.519470199999999,Exil,ZH,http://www.bandsintown.com/venue/697731
James Gruntz,http://www.bandsintown.com/JamesGruntz,2012-01-29T20:00:00,4866650,http://www.bandsintown.com/event/4866650?app_id=epfl,Basel,1285310,47.5666667,7.6,"DUO at Grenzgängerslam, Kulturpavillon",04,http://www.bandsintown.com/venue/1285310
The Musical Box,http://www.bandsintown.com/TheMusicalBox,2012-01-29T20:00:00,4850559,http://www.bandsintown.com/event/4850559?app_id=epfl,Zurich,771839,47.366033,8.537234,Kongresshaus Zürich,Switzerland,http://www.bandsintown.com/venue/771839
*~I love my friends ~*,http://www.bandsintown.com/%2A%7EiLoveMyFriends%7E%2A,2012-01-30T19:00:00,4818735,http://www.bandsintown.com/event/4818735?app_id=epfl,Fisibach,1269337,47.564225,8.4089,Facebook,Switzerland,http://www.bandsintown.com/venue/1269337
Flatfoot 56,http://www.bandsintown.com/Flatfoot56,2012-01-30T19:00:00,4678895,http://www.bandsintown.com/event/4678895?app_id=epfl,Zurich,90375,47.3666667,8.55,Hafenkneipe,25,http://www.bandsintown.com/venue/90375
Albisriederplatz,http://www.bandsintown.com/Albisriederplatz,2012-01-30T20:00:00,4915921,http://www.bandsintown.com/event/4915921?app_id=epfl,Zurich,903135,47.378021000000004,8.508807000000001,Maiers Theater,25,http://www.bandsintown.com/venue/903135
Live Multivision Fotoreportage,http://www.bandsintown.com/LiveMultivisionFotoreportage,2012-01-30T20:00:00,4915922,http://www.bandsintown.com/event/4915922?app_id=epfl,Winterthur,842325,47.504074700000004,8.725535,Banana City,,http://www.bandsintown.com/venue/842325
Inna Modja,http://www.bandsintown.com/InnaModja,2012-01-30T20:00:00,4688379,http://www.bandsintown.com/event/4688379?app_id=epfl,Bale,1038709,47.5666667,7.6,Casino,04,http://www.bandsintown.com/venue/1038709
Klappfon,http://www.bandsintown.com/Klappfon,2012-01-30T20:30:00,4915923,http://www.bandsintown.com/event/4915923?app_id=epfl,Basel,169941,47.56380720000001,7.5911254,Kaserne,04,http://www.bandsintown.com/venue/169941
Kaserne present,http://www.bandsintown.com/KasernePresent,2012-01-30T20:30:00,4915923,http://www.bandsintown.com/event/4915923?app_id=epfl,Basel,169941,47.56380720000001,7.5911254,Kaserne,04,http://www.bandsintown.com/venue/169941
Voxset,http://www.bandsintown.com/Voxset,2012-01-31T19:00:00,5254418,http://www.bandsintown.com/event/5254418?app_id=epfl,Lausanne,1408207,46.533333299999995,6.6666667,Spectacle avec le Rudra Béjart Ballet,23,http://www.bandsintown.com/venue/1408207
Orfeo ed Euridice de Christoph Willibald Gluck,http://www.bandsintown.com/OrfeoEdEuridiceDeChristophWillibaldGluck,2012-01-31T20:00:00,4924291,http://www.bandsintown.com/event/4924291?app_id=epfl,Lausanne,1302304,46.533333299999995,6.6666667,Aula des CÃ¨dres,23,http://www.bandsintown.com/venue/1302304
Ana Moura,http://www.bandsintown.com/AnaMoura,2012-01-31T22:00:00,5468003,http://www.bandsintown.com/event/5468003?app_id=epfl,Geneve,169960,46.2012,6.141799,VICTORIA HALL,Etr,http://www.bandsintown.com/venue/169960
Dead to Me,http://www.bandsintown.com/DeadToMe,2012-01-31T19:00:00,4751660,http://www.bandsintown.com/event/4751660?app_id=epfl,Solothurn,1065382,47.2333333,7.5166667,Kofmehl,18,http://www.bandsintown.com/venue/1065382
Luz Casal,http://www.bandsintown.com/LuzCasal,2012-01-31T20:00:00,4924293,http://www.bandsintown.com/event/4924293?app_id=epfl,Roches,841143,47.302299,7.37737,Halle,Switzerland,http://www.bandsintown.com/venue/841143
Weibel,http://www.bandsintown.com/Weibel,2012-01-31T20:00:00,4924293,http://www.bandsintown.com/event/4924293?app_id=epfl,Roches,841143,47.302299,7.37737,Halle,Switzerland,http://www.bandsintown.com/venue/841143
Kuggeleyn,http://www.bandsintown.com/Kuggeleyn,2012-01-31T20:00:00,4924293,http://www.bandsintown.com/event/4924293?app_id=epfl,Roches,841143,47.302299,7.37737,Halle,Switzerland,http://www.bandsintown.com/venue/841143
