artist_name,artist_url,event_venue.longitude,event_id,event_venue.id,event_venue.city,event_venue.region,event_venue.latitude,event_datetime,event_url,event_venue.url,event_venue.name
Breitbild,http://www.bandsintown.com/Breitbild,8.6362258,3976843,351805,Schaffhausen,16,47.6944774,2010-10-30T22:00:00,http://www.bandsintown.com/event/3976843?app_id=epfl,http://www.bandsintown.com/venue/351805,Kammgarn
The Crowd is on Fire,http://www.bandsintown.com/TheCrowdIsOnFire,8.3003268,3976844,639666,Baden,01,47.4811889,2010-10-30T22:00:00,http://www.bandsintown.com/event/3976844?app_id=epfl,http://www.bandsintown.com/venue/639666,Nordportal
The Mood,http://www.bandsintown.com/TheMood,8.1770456,3976845,971970,Reinach Ag,,47.2653236,2010-10-30T22:00:00,http://www.bandsintown.com/event/3976845?app_id=epfl,http://www.bandsintown.com/venue/971970,glashaus
Deutsch Amerikanische Freundschaft,http://www.bandsintown.com/DeutschAmerikanischeFreundschaft,8.05,3976846,306293,Aarau,01,47.3833333,2010-10-30T22:00:00,http://www.bandsintown.com/event/3976846?app_id=epfl,http://www.bandsintown.com/venue/306293,Kiff
Biffy Clyro,http://www.bandsintown.com/BiffyClyro,9.37418,3865498,967903,St. Gallen,Switzerland,47.422501,2010-10-30T19:00:00,http://www.bandsintown.com/event/3865498?app_id=epfl,http://www.bandsintown.com/venue/967903,Grabenalle
Max Pashm,http://www.bandsintown.com/MaxPashm,9.37418,3792951,950202,St. Gallen,Switzerland,47.422501,2010-10-30T21:00:00,http://www.bandsintown.com/event/3792951?app_id=epfl,http://www.bandsintown.com/venue/950202,Electro Swing
Camea,http://www.bandsintown.com/Camea,8.55,3808555,867916,Zurich,25,47.3666667,2010-10-30T22:00:00,http://www.bandsintown.com/event/3808555?app_id=epfl,http://www.bandsintown.com/venue/867916,Open-Air Venue
POW-LOW,http://www.bandsintown.com/POW-LOW,9.56527,3901542,786799,Zizers,Switzerland,46.936001,2010-10-30T22:00:00,http://www.bandsintown.com/event/3901542?app_id=epfl,http://www.bandsintown.com/venue/786799,Event Stage
Orquesta Tipica El Afronte,http://www.bandsintown.com/OrquestaTipicaElAfronte,8.7166667,5637479,1529052,Stafa,25,47.2333333,2010-10-30T22:00:00,http://www.bandsintown.com/event/5637479?app_id=epfl,http://www.bandsintown.com/venue/1529052,Tango Ball in Rössli
Caribbean Vibez,http://www.bandsintown.com/CaribbeanVibez,8.7222841,3976848,147243,Winterthur,25,47.4975354,2010-10-30T22:00:00,http://www.bandsintown.com/event/3976848?app_id=epfl,http://www.bandsintown.com/venue/147243,Salzhaus
Mark Pritchard,http://www.bandsintown.com/MarkPritchard,9.37369,3763705,942536,St. Gallen,Switzerland,47.42638,2010-10-30T22:00:00,http://www.bandsintown.com/event/3763705?app_id=epfl,http://www.bandsintown.com/venue/942536,PALACE ST GALLEN
Schlagersahne,http://www.bandsintown.com/Schlagersahne,8.0429822,3976847,864965,Aarau,,47.3943495,2010-10-30T22:00:00,http://www.bandsintown.com/event/3976847?app_id=epfl,http://www.bandsintown.com/venue/864965,Kettenbrücke
Markus Becker,http://www.bandsintown.com/MarkusBecker,8.0429822,3976847,864965,Aarau,,47.3943495,2010-10-30T22:00:00,http://www.bandsintown.com/event/3976847?app_id=epfl,http://www.bandsintown.com/venue/864965,Kettenbrücke
Lucciano Pizzichini,http://www.bandsintown.com/LuccianoPizzichini,6.69304,3930892,985020,Rueyres,Switzerland,46.69791,2010-10-31T19:30:00,http://www.bandsintown.com/event/3930892?app_id=epfl,http://www.bandsintown.com/venue/985020,El Empujón del Diablo
Hola Ghost,http://www.bandsintown.com/HolaGhost,6.14456,3764780,943103,Geneva,Switzerland,46.20245,2010-10-31T20:00:00,http://www.bandsintown.com/event/3764780?app_id=epfl,http://www.bandsintown.com/venue/943103,Le KAB de L'Usine
iSWHAT?!,http://www.bandsintown.com/iSWHAT%253F%21,6.08333,3912691,981107,Bernex,07,46.1833,2010-10-31T21:00:00,http://www.bandsintown.com/event/3912691?app_id=epfl,http://www.bandsintown.com/venue/981107,Beeflat
Jon Allen,http://www.bandsintown.com/JonAllen,7.1202698,3977470,842994,Murten,FR,46.9296112,2010-10-31T21:00:00,http://www.bandsintown.com/event/3977470?app_id=epfl,http://www.bandsintown.com/venue/842994,Hotel Murten
Vijay Iyer Trio,http://www.bandsintown.com/VijayIyerTrio,7.168626,3977471,928437,Fribourg,Etr,46.80382,2010-10-31T21:00:00,http://www.bandsintown.com/event/3977471?app_id=epfl,http://www.bandsintown.com/venue/928437,La Spirale
Africa Hitech Soundsystem,http://www.bandsintown.com/AfricaHitechSoundsystem,7.1801778,3977473,323397,Düdingen,Canton Of Fribourg,46.8615737,2010-10-31T21:30:00,http://www.bandsintown.com/event/3977473?app_id=epfl,http://www.bandsintown.com/venue/323397,Bad Bonn
Train,http://www.bandsintown.com/Train,7.53692,3756408,833080,Solothurn,Canton Of Solothurn,47.210541,2010-10-31T19:00:00,http://www.bandsintown.com/event/3756408?app_id=epfl,http://www.bandsintown.com/venue/833080,Kulturfabrik Kofmehl
von Coupe Romanoff,http://www.bandsintown.com/VonCoupeRomanoff,7.30768,3977466,964975,Lyss,Canton Of Berne,47.07938,2010-10-31T20:00:00,http://www.bandsintown.com/event/3977466?app_id=epfl,http://www.bandsintown.com/venue/964975,Kulturfabrik Lyss
ISWHAT?,http://www.bandsintown.com/ISWHAT%253F,7.4429804,3977468,337236,Bern,,46.9503361,2010-10-31T20:30:00,http://www.bandsintown.com/event/3977468?app_id=epfl,http://www.bandsintown.com/venue/337236,Turnhalle im PROGR
Toño Rosario Live on Stage,http://www.bandsintown.com/To%C3%B1oRosarioLiveOnStage,7.37737,3977474,872730,Roches,Switzerland,47.302299,2010-10-31T22:00:00,http://www.bandsintown.com/event/3977474?app_id=epfl,http://www.bandsintown.com/venue/872730,Diva Club
Tagespass Sonntag,http://www.bandsintown.com/TagespassSonntag,7.82273,3977464,993038,Canton Of Basel-Country,Switzerland,47.451221,2010-10-31T11:00:00,http://www.bandsintown.com/event/3977464?app_id=epfl,http://www.bandsintown.com/venue/993038,12 Schiffe
Live-Mulitivision Show,http://www.bandsintown.com/Live-mulitivisionShow,8.306176,3976855,995265,Luzern,,47.04559,2010-10-31T16:00:00,http://www.bandsintown.com/event/3976855?app_id=epfl,http://www.bandsintown.com/venue/995265,Paulusheim
Tarot,http://www.bandsintown.com/Tarot,8.539312,3762284,594255,Zurich,Etr,47.383297,2010-10-31T19:00:00,http://www.bandsintown.com/event/3762284?app_id=epfl,http://www.bandsintown.com/venue/594255,Dynamo
Barbara Balzan,http://www.bandsintown.com/BarbaraBalzan,8.55,3976856,10674,Zurich,25,47.3666667,2010-10-31T19:00:00,http://www.bandsintown.com/event/3976856?app_id=epfl,http://www.bandsintown.com/venue/10674,Moods
Paolo Fresu,http://www.bandsintown.com/PaoloFresu,8.55,3976856,10674,Zurich,25,47.3666667,2010-10-31T19:00:00,http://www.bandsintown.com/event/3976856?app_id=epfl,http://www.bandsintown.com/venue/10674,Moods
Rod y Gab,http://www.bandsintown.com/RodYGab,8.55,3901594,275159,Zurich,25,47.3666667,2010-10-31T19:00:00,http://www.bandsintown.com/event/3901594?app_id=epfl,http://www.bandsintown.com/venue/275159,X-tra
Abba Gold,http://www.bandsintown.com/AbbaGold,8.83658,3660745,911019,Rapperswil-Jona,SG,47.2296,2010-10-31T19:00:00,http://www.bandsintown.com/event/3660745?app_id=epfl,http://www.bandsintown.com/venue/911019,Stadtsaal
AVO Session,http://www.bandsintown.com/AvoSession,7.5994,3835417,169944,Basel,Switzerland,47.56321,2010-10-31T20:00:00,http://www.bandsintown.com/event/3835417?app_id=epfl,http://www.bandsintown.com/venue/169944,"Messe Basel, Grosser Saal"
AVO Session Basel,http://www.bandsintown.com/AvoSessionBasel,7.5994308,3849324,703955,Basel,04,47.5639759,2010-10-31T20:00:00,http://www.bandsintown.com/event/3849324?app_id=epfl,http://www.bandsintown.com/venue/703955,Messe Basel
