name,genre,origin,ambigous_result,no_result
Fake Drake,"Hip Hop, R'n'B",,,
Evelinn Trouble plays the songs of Drake,"Hip Hop, R'n'B",,,
Manillio,Pop,,,
Yarn feat. L'Effondras & Herr Geisha And The Boobs,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Happy Sound,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJ Classic,"Hip Hop, R'n'B",,,
DJs Metino,"Hip Hop, R'n'B",,,
Crazy,"Hip Hop, R'n'B",,,
DJ Jay-K,"Hip Hop, R'n'B",,,
DJ Leclerc,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
ILB DJ-Crew,"Hip Hop, R'n'B",,,
DJs Marcus Gram,"Hip Hop, R'n'B",,,
Don Pepe,"Hip Hop, R'n'B",,,
Christmas edition,"Hip Hop, R'n'B",,,
DJs Wood Nox & Eric Santana,"Hip Hop, R'n'B",Netherlands,,
I-Scratch,"Hip Hop, R'n'B",,,
Dany Rich,"Hip Hop, R'n'B",,,
Bordy Dee,"Hip Hop, R'n'B",,,
Mc B,"Hip Hop, R'n'B",,,
Mc Jay Jr.,"Hip Hop, R'n'B",,,
Q-No,"Ragga, Reggae, African Music, Dancehall",,,
DJ Replay M,"Hip Hop, R'n'B",,,
Jean-Claude & Mystes System,Electronic,,,
DJ Philippe Fierce,"Hip Hop, R'n'B",,,
DJs Hermes Conrad,"Hip Hop, R'n'B",,,
Tumult Crew,"Hip Hop, R'n'B",,,
Flatrate Zero Combo,"Hip Hop, R'n'B",,,
O-Kay,"Hip Hop, R'n'B",,,
DJs DNO,"Hip Hop, R'n'B",,,
Dizzy,"Hip Hop, R'n'B",,,
Hugo R,"Hip Hop, R'n'B",,,
DJ Jorge,"Ragga, Reggae, African Music, Dancehall",,,
New York Ska-Jazz Ensemble,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Müslüm,Pop,,,
DJ Costa,"Hip Hop, R'n'B",,,
The Fags,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Scratch,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJ X-Lingen-City-Rocker,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Deep Down,Pop,,,
DJ Kes Roc,"Hip Hop, R'n'B",,,
Kapelle Sorelle,Pop,,,
DJ Seniorr,"Hip Hop, R'n'B",,,
DJs Jesaya & Joe Bless,"Hip Hop, R'n'B",,,
Tuesday Sheep,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Niculin Janett,"Jazz, Blues, Soul",,,
Noam Szyfer,"Jazz, Blues, Soul",,,
Uzu,"Jazz, Blues, Soul",,,
Ursula Bachmann,"Jazz, Blues, Soul",,,
Raphael Kalt,"Jazz, Blues, Soul",,,
Philipp Saner,"Jazz, Blues, Soul",,,
Mischa Frey,"Jazz, Blues, Soul",,,
Marcio de Sousa,"Jazz, Blues, Soul",,,
Tanja Zimmermann,"Jazz, Blues, Soul",,,
Tourabschluss 2016,Pop,,,
Easy Listening Music Quartett,"Jazz, Blues, Soul",,,
Rebecca Spiteri,"Jazz, Blues, Soul",,,
Jürg Ramspeck,"Jazz, Blues, Soul",,,
Joel Reiff,"Jazz, Blues, Soul",,,
Rolf Lyssy,"Jazz, Blues, Soul",,,
Berührende Eigenkompositionen - melancholische und ironische Songs über Liebe,Pop,,,
Hoffnung und die kleinen Enttäuschungen im Leben.,Pop,,,
Swiss Jazz Orchestra,"Jazz, Blues, Soul",Switzerland,,
Rainer Tempel,"Jazz, Blues, Soul",,,
Ueli Schmezer's Matter Live,Pop,,,
Ganesh Geymeier,"Jazz, Blues, Soul",,,
Raphael Walser,"Jazz, Blues, Soul",,,
Domi Chansorn,"Jazz, Blues, Soul",,,
Real Talent,Pop,,,
Effies Beast,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
K.O.S.Crew,"Hip Hop, R'n'B",,,
DJs Acee,"Hip Hop, R'n'B",,,
A-Damn,"Hip Hop, R'n'B",,,
Joke Lanz,Electronic,,,
Laboratorium - Konzertreihe für frei improvisierte Musik,"Jazz, Blues, Soul",,,
Collin Vallon Trio,"Jazz, Blues, Soul",,,
Collin Vallon,"Jazz, Blues, Soul",,,
Julian Sartorius,"Jazz, Blues, Soul",,,
With Yanti and Kizomba Touch,"Ragga, Reggae, African Music, Dancehall",,,
Sous les étoiles,"Jazz, Blues, Soul",,,
Dartin Dahanukar,"Jazz, Blues, Soul",,,
Dimitri,"Jazz, Blues, Soul",,,
Howald,"Jazz, Blues, Soul",,,
Philipp Moll,"Jazz, Blues, Soul",,,
Yuval Dayan,Pop,,,
Iiro Rantala's Musicbox,"Jazz, Blues, Soul",,,
Wunschkonzert,"Jazz, Blues, Soul",,,
The Dixie Corporation & The Mariettes,"Jazz, Blues, Soul",,,
Markus Hächler,"Jazz, Blues, Soul",,,
Paul Tantanini,"Jazz, Blues, Soul",,,
John Service,"Jazz, Blues, Soul",,,
Thomas Grüninger,"Jazz, Blues, Soul",,,
Jimmy Wettach,"Jazz, Blues, Soul",,,
Hans Brunner,"Jazz, Blues, Soul",,,
Christian Schenker & Grüüveli Tüüfeli,Pop,,,
Männerchor Concordia Wil,Pop,,,
Werner und Company,Pop,,,
DJs Ruben,"Ragga, Reggae, African Music, Dancehall",,,
Tiago,"Ragga, Reggae, African Music, Dancehall",,,
Mc Less,"Ragga, Reggae, African Music, Dancehall",,,
Claasilisque Sound,"Hip Hop, R'n'B",,,
Live Drag Show by Milky Diamond,"Hip Hop, R'n'B",,,
Rap History Team,"Hip Hop, R'n'B",,,
DJs Gil Glaze,"Hip Hop, R'n'B",,,
Urban Hands,"Hip Hop, R'n'B",,,
Jontsch & Friends feat. Phil Dankner & Band,Pop,,,
Adrian Stern,Pop,,,
Lions Head,Pop,United States,,
Pegasus,Pop,,,
DJ Irresponsible,"Hip Hop, R'n'B",,,
Boss Hi-Fi,"Hip Hop, R'n'B",,,
DJs Selecta Iray,"Ragga, Reggae, African Music, Dancehall",,,
