name,origin,genre
DJ Rizzo Musix,NaN,"Hip Hop, R'n'B"
DJ Tschuppi,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJs Sweep,NaN,"Hip Hop, R'n'B"
Tequila Boys,NaN,Pop
Fake Drake,NaN,"Hip Hop, R'n'B"
Evelinn Trouble plays the songs of Drake,NaN,"Hip Hop, R'n'B"
Manillio,NaN,Pop
Yarn feat. L'Effondras & Herr Geisha And The Boobs,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Happy Sound,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJ Classic,NaN,"Hip Hop, R'n'B"
DJs Metino,NaN,"Hip Hop, R'n'B"
Crazy,NaN,"Hip Hop, R'n'B"
DJ Jay-K,NaN,"Hip Hop, R'n'B"
DJ Leclerc,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
ILB DJ-Crew,NaN,"Hip Hop, R'n'B"
DJs Marcus Gram,NaN,"Hip Hop, R'n'B"
Don Pepe,NaN,"Hip Hop, R'n'B"
Christmas edition,NaN,"Hip Hop, R'n'B"
DJs Wood Nox & Eric Santana,Netherlands,"Hip Hop, R'n'B"
I-Scratch,NaN,"Hip Hop, R'n'B"
Dany Rich,NaN,"Hip Hop, R'n'B"
Bordy Dee,NaN,"Hip Hop, R'n'B"
Mc B,NaN,"Hip Hop, R'n'B"
Mc Jay Jr.,NaN,"Hip Hop, R'n'B"
Q-No,NaN,"Ragga, Reggae, African Music, Dancehall"
DJ Replay M,NaN,"Hip Hop, R'n'B"
Jean-Claude & Mystes System,NaN,Electronic
DJ Philippe Fierce,NaN,"Hip Hop, R'n'B"
DJs Hermes Conrad,NaN,"Hip Hop, R'n'B"
Tumult Crew,NaN,"Hip Hop, R'n'B"
Flatrate Zero Combo,NaN,"Hip Hop, R'n'B"
O-Kay,NaN,"Hip Hop, R'n'B"
DJs DNO,NaN,"Hip Hop, R'n'B"
Dizzy,NaN,"Hip Hop, R'n'B"
Hugo R,NaN,"Hip Hop, R'n'B"
DJ Jorge,NaN,"Ragga, Reggae, African Music, Dancehall"
New York Ska-Jazz Ensemble,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Müslüm,Arabic,Pop
DJ Costa,NaN,"Hip Hop, R'n'B"
The Fags,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Scratch,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJ X-Lingen-City-Rocker,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Deep Down,NaN,Pop
DJ Kes Roc,NaN,"Hip Hop, R'n'B"
Kapelle Sorelle,NaN,Pop
DJ Seniorr,NaN,"Hip Hop, R'n'B"
DJs Jesaya & Joe Bless,NaN,"Hip Hop, R'n'B"
Tuesday Sheep,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Niculin Janett,NaN,"Jazz, Blues, Soul"
Noam Szyfer,NaN,"Jazz, Blues, Soul"
Uzu,NaN,"Jazz, Blues, Soul"
Ursula Bachmann,NaN,"Jazz, Blues, Soul"
Raphael Kalt,NaN,"Jazz, Blues, Soul"
Philipp Saner,NaN,"Jazz, Blues, Soul"
Mischa Frey,NaN,"Jazz, Blues, Soul"
Marcio de Sousa,NaN,"Jazz, Blues, Soul"
Tanja Zimmermann,NaN,"Jazz, Blues, Soul"
Tourabschluss 2016,NaN,Pop
Easy Listening Music Quartett,NaN,"Jazz, Blues, Soul"
Rebecca Spiteri,NaN,"Jazz, Blues, Soul"
Jürg Ramspeck,NaN,"Jazz, Blues, Soul"
Joel Reiff,NaN,"Jazz, Blues, Soul"
Rolf Lyssy, Switzerland,"Jazz, Blues, Soul"
Berührende Eigenkompositionen - melancholische und ironische Songs über Liebe,NaN,Pop
Hoffnung und die kleinen Enttäuschungen im Leben.,NaN,Pop
Swiss Jazz Orchestra,Switzerland,"Jazz, Blues, Soul"
Rainer Tempel,NaN,"Jazz, Blues, Soul"
Ueli Schmezer's Matter Live,NaN,Pop
Ganesh Geymeier,NaN,"Jazz, Blues, Soul"
Raphael Walser,NaN,"Jazz, Blues, Soul"
Domi Chansorn,NaN,"Jazz, Blues, Soul"
Real Talent,NaN,Pop
Effies Beast,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
K.O.S.Crew,NaN,"Hip Hop, R'n'B"
DJs Acee,NaN,"Hip Hop, R'n'B"
A-Damn,NaN,"Hip Hop, R'n'B"
Joke Lanz,U.S.,Electronic
Laboratorium - Konzertreihe für frei improvisierte Musik,NaN,"Jazz, Blues, Soul"
Collin Vallon Trio,NaN,"Jazz, Blues, Soul"
Collin Vallon, Switzerland,"Jazz, Blues, Soul"
Julian Sartorius,NaN,"Jazz, Blues, Soul"
With Yanti and Kizomba Touch,NaN,"Ragga, Reggae, African Music, Dancehall"
Sous les étoiles,NaN,"Jazz, Blues, Soul"
Dartin Dahanukar,NaN,"Jazz, Blues, Soul"
Dimitri,NaN,"Jazz, Blues, Soul"
Howald,NaN,"Jazz, Blues, Soul"
Philipp Moll,NaN,"Jazz, Blues, Soul"
Yuval Dayan,NaN,Pop
Iiro Rantala's Musicbox,NaN,"Jazz, Blues, Soul"
Wunschkonzert,NaN,"Jazz, Blues, Soul"
The Dixie Corporation & The Mariettes,NaN,"Jazz, Blues, Soul"
Markus Hächler,NaN,"Jazz, Blues, Soul"
Paul Tantanini,NaN,"Jazz, Blues, Soul"
John Service, China,"Jazz, Blues, Soul"
Thomas Grüninger,NaN,"Jazz, Blues, Soul"
Jimmy Wettach,NaN,"Jazz, Blues, Soul"
Hans Brunner,NaN,"Jazz, Blues, Soul"
Christian Schenker & Grüüveli Tüüfeli,NaN,Pop
Männerchor Concordia Wil,NaN,Pop
Werner und Company,NaN,Pop
DJs Ruben,NaN,"Ragga, Reggae, African Music, Dancehall"
Tiago,NaN,"Ragga, Reggae, African Music, Dancehall"
Mc Less,NaN,"Ragga, Reggae, African Music, Dancehall"
Claasilisque Sound,NaN,"Hip Hop, R'n'B"
Live Drag Show by Milky Diamond,NaN,"Hip Hop, R'n'B"
Rap History Team,NaN,"Hip Hop, R'n'B"
DJs Gil Glaze,NaN,"Hip Hop, R'n'B"
Urban Hands,NaN,"Hip Hop, R'n'B"
Jontsch & Friends feat. Phil Dankner & Band,NaN,Pop
Adrian Stern,NaN,Pop
Lions Head,United States,Pop
Pegasus,NaN,Pop
DJ Irresponsible,NaN,"Hip Hop, R'n'B"
Boss Hi-Fi,NaN,"Hip Hop, R'n'B"
DJs Selecta Iray,NaN,"Ragga, Reggae, African Music, Dancehall"
Nat-Shizaru,NaN,"Ragga, Reggae, African Music, Dancehall"
Open Season & Jahcoustix,NaN,"Hip Hop, R'n'B"
Kummerbuben,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Albie Donnelly,NaN,"Hip Hop, R'n'B"
Thorsten Heitzmann,NaN,"Hip Hop, R'n'B"
Ab 18 Jahren,NaN,Pop
J Who,NaN,"Hip Hop, R'n'B"
Donadio Family Ensemble,NaN,Pop
Dalia Donadio,NaN,Pop
Madlen Donadio,NaN,Pop
Moreno Donadio,NaN,Pop
Toni Donadio,NaN,Pop
Aliéksey Vianna Trio convida Bodo Maier,NaN,"Jazz, Blues, Soul"
Bodo Maier,NaN,"Jazz, Blues, Soul"
Aliéksey Vianna,NaN,"Jazz, Blues, Soul"
Stephan Kurmann,NaN,"Jazz, Blues, Soul"
Mauro Martins,NaN,"Jazz, Blues, Soul"
Hommage an Billie Holiday,NaN,"Jazz, Blues, Soul"
Tüli,NaN,"Hip Hop, R'n'B"
Dela Hüttner,NaN,"Jazz, Blues, Soul"
Adrian Mira,NaN,"Jazz, Blues, Soul"
Samir Böhringer,NaN,"Jazz, Blues, Soul"
The Escalator Haters,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Vizediktator,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
