artist_name,artist_url,event_venue.longitude,event_url,event_venue.region,event_datetime,event_venue.id,event_venue.url,event_venue.latitude,event_venue.name,event_id,event_venue.city
Eric Prydz,http://www.bandsintown.com/EricPrydz,8.2,http://www.bandsintown.com/event/370238?app_id=epfl,01,2007-05-12T00:00:00,125831,http://www.bandsintown.com/venue/125831,46.45,Club Lifting,370238,Biel
Plácido Domingo,http://www.bandsintown.com/Pl%C3%A1cidoDomingo,8.552307,http://www.bandsintown.com/event/464583?app_id=epfl,25,2007-05-12T00:00:00,170002,http://www.bandsintown.com/venue/170002,47.410675,Hallenstadion,464583,Zurich
Bleubird,http://www.bandsintown.com/Bleubird,8.2666667,http://www.bandsintown.com/event/361698?app_id=epfl,11,2007-05-12T10:00:00,119671,http://www.bandsintown.com/venue/119671,47.0833333,boa kulturzentrum,361698,Lucerne
JJ GREY and MOFRO,http://www.bandsintown.com/JjGreyAndMofro,8.55,http://www.bandsintown.com/event/321660?app_id=epfl,25,2007-05-12T20:00:00,203096,http://www.bandsintown.com/venue/203096,47.3666667,El Lokal,321660,Zurich
Fort Knox Five,http://www.bandsintown.com/FortKnoxFive,9.1666667,http://www.bandsintown.com/event/351226?app_id=epfl,02,2007-05-12T23:00:00,221361,http://www.bandsintown.com/venue/221361,47.2333333,Kraftwerk with  Fort Knox Five,351226,Krummenau
Heavy Demons,http://www.bandsintown.com/HeavyDemons,8.9666667,http://www.bandsintown.com/event/9017697?app_id=epfl,20,2007-05-12T22:00:00,2529574,http://www.bandsintown.com/venue/2529574,46.0,Sala Metrò,9017697,Lugano
Giving Chase,http://www.bandsintown.com/GivingChase,9.8368549,http://www.bandsintown.com/event/403031?app_id=epfl,,2007-05-13T20:00:00,253038,http://www.bandsintown.com/venue/253038,46.8043821,Box,403031,Davos
Kyle Park,http://www.bandsintown.com/KylePark,7.56311,http://www.bandsintown.com/event/344812?app_id=epfl,BS,2007-05-14T20:00:00,110499,http://www.bandsintown.com/venue/110499,47.57421,Grand Casino,344812,Basel
Pet Shop Boys,http://www.bandsintown.com/PetShopBoys,8.527116,http://www.bandsintown.com/event/464584?app_id=epfl,Switzerland,2007-05-15T00:00:00,170005,http://www.bandsintown.com/venue/170005,47.375485,Volkshaus,464584,Zurich
Soul Id,http://www.bandsintown.com/SoulId,7.455955,http://www.bandsintown.com/event/464454?app_id=epfl,Switzerland,2007-05-16T00:00:00,275155,http://www.bandsintown.com/venue/275155,46.948516,Sous Soul,464454,Berne
Spock's Beard,http://www.bandsintown.com/Spock%27sBeard,7.6833333,http://www.bandsintown.com/event/353892?app_id=epfl,01,2007-05-16T20:00:00,43060,http://www.bandsintown.com/venue/43060,47.5166667,Z7,353892,Pratteln
Marduk,http://www.bandsintown.com/Marduk,7.6833333,http://www.bandsintown.com/event/464547?app_id=epfl,01,2007-05-17T00:00:00,43060,http://www.bandsintown.com/venue/43060,47.5166667,Z7,464547,Pratteln
Bridge to Solace,http://www.bandsintown.com/BridgeToSolace,8.522239,http://www.bandsintown.com/event/432501?app_id=epfl,Switzerland,2007-05-17T20:00:00,48122,http://www.bandsintown.com/venue/48122,47.362215,Abart,432501,Zurich
Raging Speedhorn,http://www.bandsintown.com/RagingSpeedhorn,8.522239,http://www.bandsintown.com/event/432501?app_id=epfl,Switzerland,2007-05-17T20:00:00,48122,http://www.bandsintown.com/venue/48122,47.362215,Abart,432501,Zurich
Soul Id,http://www.bandsintown.com/SoulId,6.14221,http://www.bandsintown.com/event/464473?app_id=epfl,Etr,2007-05-18T00:00:00,169961,http://www.bandsintown.com/venue/169961,46.18505,CHAT NOIR,464473,Carouge
Valient Thorr,http://www.bandsintown.com/ValientThorr,8.55,http://www.bandsintown.com/event/316349?app_id=epfl,25,2007-05-18T20:00:00,199636,http://www.bandsintown.com/venue/199636,47.3666667,Sommerbühne der Roten Fabrik,316349,Zurich
Coco Montoya,http://www.bandsintown.com/CocoMontoya,8.3,http://www.bandsintown.com/event/464441?app_id=epfl,01,2007-05-19T00:00:00,169939,http://www.bandsintown.com/venue/169939,47.4666667,Blues Festival,464441,Baden
Heavy Demons,http://www.bandsintown.com/HeavyDemons,8.9666667,http://www.bandsintown.com/event/9017701?app_id=epfl,20,2007-05-19T22:00:00,2529619,http://www.bandsintown.com/venue/2529619,46.35,Palaghiaccio,9017701,Biasca
Agent Orange,http://www.bandsintown.com/AgentOrange,8.9666667,http://www.bandsintown.com/event/323557?app_id=epfl,20,2007-05-19T23:45:00,136724,http://www.bandsintown.com/venue/136724,46.0,Nextpunk Festival,323557,Lugano
