club_adress,club_name,date,artiste
Steinberggasse 16, Albani Music Club,"Fri, 28 Oct 2016",Hraach
Steinberggasse 16, Albani Music Club,"Fri, 30 Sep 2016",Britta Arnold
Steinberggasse 16, Albani Music Club,"Fri, 5 Aug 2016",Susie Star
Steinberggasse 16, Albani Music Club,"Fri, 5 Aug 2016",Marco Tegui
Steinberggasse 16, Albani Music Club,"Fri, 27 May 2016",Ezikiel
Steinberggasse 16, Albani Music Club,"Fri, 27 May 2016",Alci
Steinberggasse 16, Albani Music Club,"Fri, 29 Apr 2016",Honoree
Steinberggasse 16, Albani Music Club,"Fri, 15 Apr 2016",Francesco De Bellis
Steinberggasse 16, Albani Music Club,"Fri, 25 Mar 2016",Christian Schiemann
Steinberggasse 16, Albani Music Club,"Fri, 26 Feb 2016",Meikel
Steinberggasse 16, Albani Music Club,"Fri, 26 Feb 2016",Timoteo
Steinberggasse 16, Albani Music Club,"Fri, 29 Jan 2016",Dario La Mazza
Steinberggasse 16, Albani Music Club,"Fri, 27 Nov 2015",Alex Dallas
Steinberggasse 16, Albani Music Club,"Fri, 30 Oct 2015",Jimi Jules
Steinberggasse 16, Albani Music Club,"Fri, 25 Sep 2015",Dejan
Steinberggasse 16, Albani Music Club,"Fri, 25 Sep 2015",Markus Lindner
Steinberggasse 16, Albani Music Club,"Fri, 29 May 2015",Kyrill & Redford
Steinberggasse 16, Albani Music Club,"Fri, 29 May 2015",Selim & Armin
Steinberggasse 16, Albani Music Club,"Fri, 24 Apr 2015",Einzig
Steinberggasse 16, Albani Music Club,"Fri, 24 Apr 2015",Faerber
Steinberggasse 16, Albani Music Club,"Fri, 27 Mar 2015",Juen & Bach
Steinberggasse 16, Albani Music Club,"Fri, 27 Feb 2015",Rozzo
Steinberggasse 16, Albani Music Club,"Fri, 27 Feb 2015",Mountain People
Steinberggasse 16, Albani Music Club,"Fri, 30 Jan 2015",Jimi Jules
Steinberggasse 16, Albani Music Club,"Fri, 26 Dec 2014",Alci
Steinberggasse 16, Albani Music Club,"Fri, 28 Nov 2014",Gianni Callipari
Steinberggasse 16, Albani Music Club,"Fri, 31 Oct 2014",Beda
Steinberggasse 16, Albani Music Club,"Fri, 31 Oct 2014",Hug & Schiemann
Steinberggasse 16, Albani Music Club,"Fri, 26 Sep 2014",Adriatique
Steinberggasse 16, Albani Music Club,"Fri, 30 May 2014",Benja
Steinberggasse 16, Albani Music Club,"Fri, 30 May 2014",Marco Berto
Steinberggasse 16, Albani Music Club,"Fri, 25 Apr 2014",Timoteo
Steinberggasse 16, Albani Music Club,"Fri, 25 Apr 2014",Nekow
Steinberggasse 16, Albani Music Club,"Fri, 4 Apr 2014",Casimir von Oettingen
Steinberggasse 16, Albani Music Club,"Fri, 28 Feb 2014",Pazkal
Steinberggasse 16, Albani Music Club,"Fri, 28 Feb 2014",Smalltown Collective
Steinberggasse 16, Albani Music Club,"Fri, 28 Feb 2014",Sebastian Eduardo
Steinberggasse 16, Albani Music Club,"Fri, 31 Jan 2014",Ezikiel
Steinberggasse 16, Albani Music Club,"Fri, 31 Jan 2014",Alci
Steinberggasse 16, Albani Music Club,"Fri, 27 Dec 2013",Elvis Cassetta
Steinberggasse 16, Albani Music Club,"Fri, 29 Nov 2013",Sandro Kühne
Steinberggasse 16, Albani Music Club,"Fri, 29 Nov 2013",Trinkler
Steinberggasse 16, Albani Music Club,"Fri, 25 Oct 2013",Galoppierende Zuversicht
Steinberggasse 16, Albani Music Club,"Fri, 25 Oct 2013",Deneha
Steinberggasse 16, Albani Music Club,"Fri, 27 Sep 2013",Manon
Steinberggasse 16, Albani Music Club,"Fri, 27 Sep 2013",Pazkal
"Rue de la Rôtisserie 10; 1204, Genève", Alhambar,"Fri, 29 Apr 2016",Yann Detroit
"Rue de la Rôtisserie 10; 1204, Genève", Alhambar,"Sat, 12 Dec 2015",wankäla
"Rue de la Rôtisserie 10; 1204, Genève", Alhambar,"Sat, 10 Dec 2011",Wolfgang Voigt
"Rue de la Rôtisserie 10; 1204, Genève", Alhambar,"Fri, 9 Dec 2011",Mira
"Rue de la Rôtisserie 10; 1204, Genève", Alhambar,"Fri, 3 Jun 2011",The Cruzaders
"Rue de la Rôtisserie 10; 1204, Genève", Alhambar,"Fri, 29 Oct 2010",The Cruzaders
"Rue de la Rôtisserie 10; 1204, Genève", Alhambar,"Sat, 24 Jul 2010",The Cruzaders
"Rue de la Rôtisserie 10; 1204, Genève", Alhambar,"Fri, 5 Mar 2010",The Cruzaders
"Limmatstrasse 275, 8005 Zürich", Alice Choo,"Fri, 2 Dec 2016",Mark Fanciulli
"Limmatstrasse 275, 8005 Zürich", Alice Choo,"Fri, 2 Dec 2016",Renato Broccini
"Limmatstrasse 275, 8005 Zürich", Alice Choo,"Fri, 2 Dec 2016",Matteo Arcucci
"Limmatstrasse 275, 8005 Zürich", Alice Choo,"Sat, 5 Nov 2016",Anna Tur
"Limmatstrasse 275, 8005 Zürich", Alice Choo,"Sat, 12 Mar 2016",Yougene
"Limmatstrasse 275, 8005 Zürich", Alice Choo,"Fri, 30 Oct 2015",Tom Novy
"Limmatstrasse 275, 8005 Zürich", Alice Choo,"Fri, 30 Oct 2015",Mucho Stylez
"Limmatstrasse 275, 8005 Zürich", Alice Choo,"Fri, 25 Sep 2015",Mucho Stylez
"Limmatstrasse 275, 8005 Zürich", Alice Choo,"Fri, 25 Sep 2015",Tom Novy
"Limmatstrasse 275, 8005 Zürich", Alice Choo,"Tue, 8 Sep 2015",Tom Novy
"Limmatstrasse 275, 8005 Zürich", Alice Choo,"Tue, 8 Sep 2015",Mucho Stylez
"Limmatstrasse 275, 8005 Zürich", Alice Choo,"Fri, 27 Mar 2015",Valerio Raponi
"Limmatstrasse 275, 8005 Zürich", Alice Choo,"Sat, 23 Jul 2011",Evo & RST
"Limmatstrasse 275, 8005 Zürich", Alice Choo,"Sat, 23 Jul 2011",JSebK
"Limmatstrasse 275, 8005 Zürich", Alice Choo,"Fri, 24 Jun 2011",The Cruzaders
"Sihlquai 268; 8005, Zürich", Alte Cigarettenfabrik,"Sat, 17 Nov 2012",Galoppierende Zuversicht
"Sihlquai 268; 8005, Zürich", Alte Cigarettenfabrik,"Sat, 17 Nov 2012",Gleichschritt
"Sihlquai 268; 8005, Zürich", Alte Cigarettenfabrik,"Sat, 17 Nov 2012",Evolent
"Sihlquai 268; 8005, Zürich", Alte Cigarettenfabrik,"Sat, 14 Apr 2012",Galoppierende Zuversicht
"Sihlquai 268; 8005, Zürich", Alte Cigarettenfabrik,"Sat, 14 Apr 2012",Nader
"Sihlquai 268; 8005, Zürich", Alte Cigarettenfabrik,"Sat, 14 Apr 2012",Evolent
"Sihlquai 268; 8005, Zürich", Alte Cigarettenfabrik,"Sat, 29 Oct 2011",Joachim 
"Sihlquai 268; 8005, Zürich", Alte Cigarettenfabrik,"Sat, 29 Oct 2011",Pastor
"Sihlquai 268; 8005, Zürich", Alte Cigarettenfabrik,"Sat, 26 Mar 2011",P.Bell
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Fri, 25 Nov 2016",Bob Rock
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Fri, 11 Nov 2016",Philip Bader
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Fri, 11 Nov 2016",Channel X
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Fri, 11 Nov 2016",Dachshund
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Fri, 11 Nov 2016",Vanita
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Fri, 30 Sep 2016",Oliver Huntemann
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Fri, 30 Sep 2016",Dubspeeka
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Fri, 30 Sep 2016",ME & her
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Fri, 24 Jun 2016",Ben Murphy
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 4 Jun 2016",Tristan Bohn
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 9 Apr 2016",Jensson
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 19 Mar 2016",Vera
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 19 Mar 2016",Dasha Redkina
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 19 Mar 2016",Abelle
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 19 Mar 2016",Ajele
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 19 Mar 2016",Patrischa
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 19 Mar 2016",Vanita
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Fri, 4 Mar 2016",Jan Oberlaender
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Fri, 4 Mar 2016",Coss
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Fri, 4 Mar 2016",Joshua Jesse
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Fri, 4 Mar 2016",Vanita
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Fri, 4 Mar 2016",Jan Oberlaender
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Fri, 4 Mar 2016",Coss
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Fri, 4 Mar 2016",Joshua Jesse
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Fri, 4 Mar 2016",Vanita
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 6 Feb 2016",Taucher
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 5 Dec 2015",Mantu
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 5 Dec 2015",Dario D'Attis
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 5 Dec 2015",Mantu
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 5 Dec 2015",Dario D'Attis
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 21 Nov 2015",Moussa
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 3 Oct 2015",Suspect One
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 3 Oct 2015",Vanita
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Fri, 25 Sep 2015",Dario D'Attis
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 4 Oct 2014",Harvard Bass
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 4 Oct 2014",Renato Broccini
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Mon, 4 Aug 2014",Renato Broccini
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 2 Aug 2014",Oliver Koletzki
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 2 Aug 2014",Niko Schwind
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 2 Aug 2014",Kellerkind
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 2 Aug 2014",Dan Caster
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 2 Aug 2014",Channel X
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 2 Aug 2014",Lexy & K-Paul
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 2 Aug 2014",Sascha Braemer
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 2 Aug 2014",Niconé
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 2 Aug 2014",Teenage Mutants
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 2 Aug 2014",Smalltown Collective
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 2 Aug 2014",Luca Torre
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 2 Aug 2014",Oliver Aden & Luis Cruz
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 29 Dec 2012",Martin Eyerer
