Adress,City,Latitude,Longitude,Venue
,Basel,47.547402000000005,7.598571000000001,Sommercasino
,Olten,47.349534000000006,7.908866000000001,Galicia musik bar
,Zürich,47.402276,8.497404,Kulturkeller hongg
,Schaffhausen,47.694534999999995,8.636383,Tap tab musikraum
,Buchs,47.162946999999996,9.470965,Fabriggli
,Zürich,47.383983,8.492635,Placid hotel
,Zürich,47.375735999999996,8.540001,Lady hamiltons
,Luzern,47.053471,8.29468,Gewerbehalle
,Brugg,47.479594,8.207603,Dampfschiff kulturclub
,Zug,47.166614,8.515084,Widder bar
,Winterthur,47.495794000000004,8.718772999999999,Portier
,Zürich,47.378886,8.531541,Neo
,Rheinfelden,47.552999,7.79275,Hotel schutzen
,Baden,47.474166,8.307257,Restaurant isebahnli
,Stäfa,47.239488,8.718781,Rossli beiz
,Zürich,47.383758,8.530255,Sogar theater
,Zürich,47.358222,8.522647000000001,Papiersaal
,Zürich,47.373442,8.536474,Hiltl club
,Luzern,47.050064,8.307706,Rok
"Rue de l’Etang 21; 1630, Bulle",Bulle,46.625772999999995,7.067831,Globull
,Nan,47.321096999999995,8.789555,Evita club
,Krummenau,47.24948,9.164488,Kraftwerk club
,Luzern,47.049141,8.306949000000001,Pacifico
"Geroldstrasse 5; 8005, Zurich",Zürich,47.384952,8.520217,Hive club
,Zürich,47.378009000000006,8.530358999999999,Zeughaushof
,Lyss,47.080655,7.294428,Kulturfabrik kufa
,Lausanne,46.522407,6.619252,Les docks
,Wetzikon,47.332939,8.812099,Scala
,Binningen,47.539296,7.572406,Birsigbuchhandlung
,Mels,47.048472,9.427093,Altes kino
,Zürich,47.379554999999996,8.524485,Wim  werkstatt fur improvisierte musik
,Luzern,47.053705,8.29471,El barrio
,Zürich,47.379765,8.546911,La boheme
,Uster,47.346127,8.721307000000001,Villa am aabach
,Zürich,47.378121,8.527472,Bar 3000
,Basel,47.552082,7.587694,Soho basel
,Dübendorf,47.401271,8.605124,P1 club
,Basel,47.551999,7.590574,Atlantis
,Zürich,47.365942,8.537711999999999,Tonhalle
,Nan,47.422694,8.693733,Relax lounge
,Luzern,47.05526,8.319207,Hotel palace
,Zürich,47.388482,8.542107000000001,Mkz  musikschule konservatorium zurich
,Luzern,47.051534000000004,8.304516,Hotel des balances
,Nan,47.265324,8.177046,Glashaus
,Nan,46.803911,7.168621000000001,La spirale
,Cham,47.180061,8.458341,Landhaus steirereck
,Kirchberg,47.108859,7.526124,Restaurant eintracht
,Luzern,47.050429,8.312062,Kkl
,Luzern,47.054788,8.314834,Hotel national
,Nan,47.133646999999996,7.244775,Theatre palace
,Luzern,47.050384,8.303030999999999,Hotel wilden mann
,Zürich,47.343598,8.535826,Fabriktheater (rote fabrik)
,Zürich,47.378155,8.526622,Bagatelle §93
,Basel,47.552772,7.590935000000001,Room 14
,Düdingen,46.861574,7.180178,Bad bonn
,Horgen,47.288301000000004,8.562453,Chilbiplatz
,Luzern,47.043003000000006,8.321995,Alpenquai
,Basel,47.580796,7.591275,Quartiertreffpunkt kleinhuningen
,Zürich,47.384122999999995,8.532569,Xtra
,Liestal,47.48512,7.735471,Museum bl
,Sursee,47.179629,8.108347,Kulturwerk 118
,Zürich,47.384766,8.520700999999999,Bogen f
,Winterthur,47.540031,8.768142999999998,Gasthaus schlosshalde
,Dübendorf,47.395329,8.623963999999999,Obere muhle
,Zürich,47.376886999999996,8.541694,Roslischuur
,Baden,47.481375,8.300114,Nordportal
,Luzern,47.056359,8.319755,Hotel montana
,Zürich,47.383714000000005,8.532625999999999,Eldorado
,Zürich,47.376334,8.533277,Hafenkneipe
,Zürich,47.386577,8.528736,Barrio 5
,Zürich,47.370331,8.545100999999999,Kulturhaus helferei
,Nan,47.427632,9.376892999999999,1733  weinlokal
,Zürich,47.377759000000005,8.543813,Restaurant commihalle
,Zürich,47.361427,8.514154,Schlosserei nenniger
,Zürich,47.369485,8.557394,Bar am egge
,Stäfa,47.239488,8.718781,Kulturkarussell rossli
,Bern,46.949634,7.441210000000001,Rondel
,Zürich,47.373034999999994,8.534908999999999,Mausefalle
,"Evue, 8001 zürich",47.361697,8.551807,Herzbaracke
