ambigous_result,genre,name,no_result,origin
0,,Mr. Corelli In London SAANEN,1,
0,,MONKEY FREAKS,1,
0,,Matinee Des Jeunes Etoiles Iv GSTAAD,1,
0,,History 20-12,1,
0,,Mr. Corelli In London,1,
1,,K-Paul,0,
0,,Carlo live,1,
0,wonky,Robot Koch,0,
0,deep euro house,Oliver Schories,0,
0,,Paul Heimweh,0,
0,deep melodic euro house,Raz Ohara,0,
0,,Marco del Sol,1,
0,,Audionotica,1,
1,,Gill,0,
0,,Lars Lindenberg,0,
0,,Thomas Gruen,1,
0,latin hip hop,Valentino,0,
0,,weng weng,1,
0,deep disco house,Mind Against,0,
0,deep disco house,Alexis Raphael,0,
0,,Bang Goes,0,
0,,Jiong Jiong,1,
0,,Cheesebeat,1,
0,,Ben Huang,0,
0,chinese indie rock,Coco Zhao,0,
0,,Huzi,0,
1,,Liman,0,
0,,Yang Bing,1,
0,,Boys On Pills,0,
0,,Donald Summer,1,
0,,Compact Flash,1,
0,,Ryan Riot,0,
0,deep disco house,Slow Hands,0,
0,,Mickey Zhang,0,
0,pop christmas,Dada,0,
0,,Micrometropolice,1,
0,,Jauss,0,
1,,B6,0,
1,,Kaize,0,
1,,Yves Murasca,0,
0,,Joseph Marciel,0,
0,atmospheric black metal,Bardo,0,
0,,mik maroo,1,
0,,Dj Rudy Mc,1,
0,,Trance Gate,0,
0,dark hardcore,wasted mind,0,
0,,FABR!,1,
1,,Salazar,0,
0,,Hardsoundz,1,
0,,Hardsoundz VIP,1,
0,,Der Wildschütz,1,
0,,Hardsoundz DIETIKON,1,
0,,Hardsoundz VIP DIETIKON,1,
0,,BAR3000 AB 20H,1,
0,,A Desolat Zurich,1,
0,,Audiomat,0,
0,,Pasci,1,
0,,Around Festival ZÜRICH,1,
0,,Spiess n'Schiffer,1,
0,,Samuel Luv,0,
1,,M.A.,0,
0,,Dario Camiolo,1,
1,,Gianni Marino,0,
1,,TIMOTEO,0,
0,,Titto la Rocka,1,
1,,Basel,0,
0,,Team la Supreme,1,
1,,Ast,0,
0,dark hardcore,Amnesys,0,
1,,Mad Dog,0,
1,,Max B.,0,
0,deep hardstyle,Neophyte,0,
0,,Outblast vs. Korsakoff,1,
0,,Protect vs. Razor,1,
0,,DJ AMATO,0,
0,,Peter Schumann,0,
1,,Sese,0,
1,,LED,0,
0,deep hardstyle,Unexist,0,
1,,Adam B,0,
0,,SENSEMANN,1,
1,,Restlezz,0,
1,,Stana,0,
